Date,Event,Type
2026-05-31,Mukutotsav Poonam
2026-06-01,Bus Yatra
2026-06-03,Sankasht Choth
2026-06-08,Kalashtami
2026-06-11,Kamla Ekadashi,ProgressBar
2026-06-14,Darsha Amavasya
2026-06-15,Adhik Maas Ends today
2026-06-16,Chandra Darshan
2026-06-18,Vinayaki Choth
2026-06-22,Durgashtami
2026-06-23,Shree Hari Jayanti
2026-06-24,Shree Sahajanand Swami Swadham Leela
2026-06-25,Nirjala Ekadashi,ProgressBar
2026-06-28,Jal Yatra
2026-06-29,Mukutotsav Poonam
2026-07-03,Sankasht Choth
2026-07-08,Kalashtami
2026-07-11,Yogini Ekadashi,ProgressBar
2026-07-14,Darsha Amavasya
2026-07-15,Kutchi New Year
2026-07-15,Chandra Darshan
2026-07-16,Rath Yatra 
2026-07-17,Vinayaki Choth
2026-07-21,Durgashtami
2026-07-22,Shree Hari Jayanti
2026-07-25,Devshayni Ekadashi,ProgressBar
2026-07-25,Chaturmaas Begins
2026-07-29,Mukutotsav Poonam
2026-07-29,Guru Purnima
2026-07-31,Hindola Starts
2026-08-01,Sankasht Choth
2026-08-05,Kalashtami
2026-08-08,Vachanamrut - Writing Completed
2026-08-09,Kamika Ekadashi,ProgressBar
2026-08-12,Darsha Amavasya
2026-08-13,Shiv Poojan Begins
2026-08-14,Chandra Darshan
2026-08-15,India Independence Day 
2026-08-16,Vinayaki Choth
2026-08-16,Varah Jayanti
2026-08-20,Durgashtami
2026-08-21,Shree Hari Jayanti
2026-08-24,Pavitra (Putrada) Ekadashi,ProgressBar
2026-08-28,Mukutotsav Poonam
2026-08-28,Raksha Bandhan
2026-08-29,Hindola Ends
2026-08-31,Sankasht Choth
2026-09-01,Nag Pancham
2026-09-02,Randhan Chhatth
2026-09-04,Shree Krishna Janmashtami,ProgressBar
2026-09-04,Kalashtami
2026-09-04,Ramanand Swami's Birthday
2026-09-07,Aja Ekadashi,ProgressBar
2026-09-11,Shiv Poojan Ends
2026-09-13,Chandra Darshan
2026-09-13,Varah Jayanti
2026-09-14,Ganesh Chaturthi
2026-09-14,Kevda Trij
2026-09-15,Rushi Panchami,ProgressBar
2026-09-19,Durgashtami
2026-09-19,Radhashtami
2026-09-20,Shree Hari Jayanti
2026-09-22,Parivartini Ekadashi,ProgressBar
2026-09-22,Jaljhini Utsav
2026-09-23,Shree Vaman Jayanti
2026-09-26,Mukutotsav Poonam
2026-09-27,Shradh Starts
2026-10-03,Kalashtami
2026-10-07,Indira Ekadashi,ProgressBar
2026-10-10,Shradh Ends
2026-10-10,Darsha Amavasya
2026-10-11,Navratri Begins
2026-10-12,Chandra Darshan
2026-10-12,HH 1008 Acharya  Shree Koshalendra Prasadji Maharaj - Gadi Abhishek
2026-10-14,Vinayaki Choth
2026-10-16,Saraswati avahan
2026-10-17,Saraswati Pujan
2026-10-18,Saraswati Naivedya
2026-10-18,Durgashtami
2026-10-19,Saraswati Visarjan
2026-10-20,Shree Hari Jayanti
2026-10-20,Navratri Ends
2026-10-21,Dashera
2026-10-21,Vijaya Dashmi
2026-10-22,Pashankusha Ekadashi,ProgressBar
2026-10-25,Sharad Poonam
2026-10-29,Sankasht Choth
2026-11-02,Kalashtami
2026-11-05,Rama Ekadashi,ProgressBar
2026-11-06,Dhanteras
2026-11-07,Kali Chaudash
2026-11-07,Hanuman Pujan
2026-11-08,Laxmi Pujan
2026-11-08,Chopda Pujan
2026-11-08,Diwali,ProgressBar
2026-11-08,Chopada Poojan
2026-11-09,Annkutotsav
2026-11-09,Govardhan Pujan
2026-11-09,Somvati Darsha Amavasya
2026-11-10,Nutan Varsharambh
2026-11-11,Chandra Darshan
2026-11-11,Bhai Bij
2026-11-13,Vinayaki Choth
2026-11-14,Labh Pancham
2026-11-17,Durgashtami
2026-11-18,Shree Hari Jayanti
2026-11-21,Prabodhini Ekadashi,ProgressBar
2026-11-21,Tulsi Wedding Begins
2026-11-21,Chaturmaas Ends
2026-11-21,Shree Nilkanth Varni - Gadi Abhishek
2026-11-24,Tulsi Wedding Ends
2026-11-24,Mukutotsav Poonam
2026-11-27,Sankasht Choth
2026-12-01,Kalashtami
2026-12-04,Utpatti Ekadashi,ProgressBar
2026-12-08,Darsha Amavasya
2026-12-10,Chandra Darshan
2026-12-13,Vinayaki Choth
2026-12-13,Vachanamrut Jayanti
2026-12-17,Durgashtami
2026-12-17,Dhanurmaas Starts
2026-12-18,Shree Hari Jayanti
2026-12-20,Gita Jayanti
2026-12-20,Mokshada Ekadashi,ProgressBar
2026-12-20,Gita Jayanti
2026-12-22,Sadguru Shree Ramanand Swami's Swadham Leela
2026-12-23,Datatrey Jayanti
2026-12-23,Mukutotsav Poonam
2026-12-26,Sankasht Choth
2026-12-30,Kalashtami
